Institute name,Area,City,Course Focus,Aws and devops,Java full stack,Data science and AI,python,Target Audience,Faculty Expertise,Training Methodology,Placement Rate,Average Salary in lpa,Placement Support,Internship Opportunities,Certifications Offered,review out of 5,minfee,maxfee
sri hari technologies,marathahalli,banglore,"aws,devops,linux,python,salesforce crm,sap,sap abap ,sap fico,sap mm,sap sd,sql",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,average,2.7,job assistance,yes,yes,3.0,15000.0,30000.0
nfinity infotech,varthur,banglore,"accounting,advanced java,aws,android,angular js,asp dot net,automation testing,big data hadoop,bw on hana,c programming,ccna,data science,dba,devops,python",Yes,Yes,Yes,Yes,eligible for every graduate,experience,online and  offline training,good,3.8,"resume building,100 % placement assistance,daily assesements",yes,yes,,25000.0,40000.0
h source technologies pvt ltd,btm layout,banglore,"aws devops,andriod training,angular json,app development,auto scaling,azure app service,big data training,block chain training,data science,full stack courses,digital marketing,php,sql,hadoop,react js,sap fico,testing course,selenium testing",Yes,Yes,Yes,Yes,eligible for every graduate,well qualified,online training,good,3.5,job assistance,yes,yes,4.2,15000.0,30000.0
merida skill learning academy,jayanagar,banglore,"2d animation,java,python,aws and devops,data analytics,data science",Yes,Yes,Yes,Yes,eligible for every graduate,,online and  offline training,good,3.7,placement assistance,yes,yes,3.7,8000.0,20000.0
cadd centre,jayanagar,banglore,"cadd,java,autocad training,revit course,solidworks course,python,catia classes,3ds max training,c,creo,c++,nx cad,staadpro training,web development",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.0,job assisance,yes,yes,3.5,20000.0,50000.0
nict computer education pvt ltd,jayanagar,banglore,"2d animation,3d animation,3d studio max,accounting,advanced java,animation,c++,digital marketing,dot net,dtp,excel macros,graphics,gst,html,j2ee,javascript,microsoft excel,python,oracle,sap fico,tally",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.7,"daily assesments,job assistance,resume building,workshops",yes,no,3.8,1000.0,10000.0
upskill labs,hsr layout,banglore,"accounting,adobe,aws,basic computes,cloud computing,cnc,hardware networking,java,microsoft excel adavanced,python,tally",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,average,2.0,no placement support,no,no,2.5,2000.0,10000.0
cadspro training centre,vijayanagar,banglore,"animation,graphics,microsoft excel,java,python",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,,3.8,job assisance,no,yes,3.0,10000.0,20000.0
aps learning solutions,ashok nagar,banglore,"data science,network traning,cloud computing,cyber security,aws",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assisance,yes,,4.0,30000.0,50000.0
algorithms computers,munnekollal,banglore,"data science,c programming,embedded system,software development,python,java",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,4.0,job assisance,yes,yes,3.8,20000.0,30000.0
balc cadd,rajajinagar,banglore,"java,python,c++ programming,dot net,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.4,job assisance,yes,yes,4.2,20000.0,30000.0
mass education academy,vijayanagar,banglore,"data science,java,python,c programming,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,4.0,job assisance,,yes,3.8,30000.0,40000.0
victory academy,ashok nagar,banglore,"banking,competitve exams",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.0,job assisance,yes,yes,3.0,20000.0,30000.0
mindex solutions,marathahalli,banglore,"python,data sciencesql,powerbi",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assisance,yes,yes,4.2,30000.0,50000.0
inspire educational academy,adugodi,banglore,"java,python,c programming,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.8,job assisance,yes,yes,3.8,20000.0,30000.0
educadd rr nagar,rajarajeshwari nagar,banglore,"java,python,devops,adobe,cad",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.5,job assisance,yes,yes,3.8,20000.0,30000.0
iway trainings,rajajinagar,banglore,"java,devops,python,data science,dot net,sql",Yes,Yes,Yes,Yes,,experience,online and  offline training,good,3.8,job assisance,yes,yes,4.0,40000.0,50000.0
technogrowth,vijayanagar,banglore,"python,data science,ai,web devalopment,powerbi",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,3.8,30000.0,50000.0
radical technologies,electronic city,banglore,"java,python,aws,devops,data science,cyber security,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.4,job assisance,yes,yes,4.0,40000.0,60000.0
educadd kalyan nagar,kalyan nagar,banglore,"python,java,devops,adobe,c programming,sql",Yes,Yes,Yes,Yes,freshers and experience,experience,,good,3.4,job assisance,yes,yes,3.5,20000.0,30000.0
crystal training solutions,ramamurthy nagar,banglore,"aws,java,python,sql,devops,ms excel",Yes,Yes,Yes,Yes,freshers and experience,,online and  offline training,good,3.0,job assisance,yes,yes,3.6,20000.0,30000.0
balc cadd malleswaram,malleswaram,banglore,"java,data science,python,web development,oracle,ms excel",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,3.7,,
nacc,banashankari,banglore,"java,python,ms excel,powerbi,c++programming",Yes,Yes,Yes,Yes,freshers and experience,experience,offline training,good,3.4,job assisance,yes,,3.0,10000.0,20000.0
master mind learning solutions,electronic city,banglore,"aws,data science,devops,java,python,web development,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,4.0,30000.0,50000.0
hackers university apc,m g road,banglore,"aws,data science,java,python,oracle,cyber security",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.4,job assisance,yes,yes,4.2,30000.0,50000.0
stravan technologies,sanjay nagar,banglore,"java,python,data science,ms excel,oracle",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,3.8,job assisance,yes,yes,3.8,30000.0,40000.0
apc learning solutions,ashoknagar,banglore,"java,aws,data science,devops,python,sql,c++programming",Yes,Yes,Yes,Yes,freshers and experience,experience,online and  offline training,good,4.0,job assisance,yes,yes,4.3,40000.0,50000.0
